trade_date,front_instrument_id,front_expiry
2025-12-26,49543,2025-12-30
2025-12-29,49543,2025-12-30
2025-12-30,49543,2025-12-30
2025-12-31,49229,2026-01-27
2026-01-01,49229,2026-01-27
2026-01-02,49229,2026-01-27
2026-01-05,49229,2026-01-27
2026-01-06,49229,2026-01-27
2026-01-07,49229,2026-01-27
2026-01-08,49229,2026-01-27
2026-01-09,49229,2026-01-27
2026-01-12,49229,2026-01-27
2026-01-13,49229,2026-01-27
2026-01-14,49229,2026-01-27
2026-01-16,49229,2026-01-27
2026-01-19,49229,2026-01-27
2026-01-20,49229,2026-01-27
2026-01-21,49229,2026-01-27
2026-01-22,49229,2026-01-27
2026-01-23,49229,2026-01-27
2026-01-27,49229,2026-01-27
2026-01-28,59182,2026-02-24
2026-01-29,59182,2026-02-24
2026-01-30,59182,2026-02-24
2026-02-02,59182,2026-02-24
2026-02-03,59182,2026-02-24
2026-02-04,59182,2026-02-24
2026-02-05,59182,2026-02-24
2026-02-06,59182,2026-02-24
2026-02-09,59182,2026-02-24
2026-02-10,59182,2026-02-24
2026-02-11,59182,2026-02-24
2026-02-12,59182,2026-02-24
2026-02-13,59182,2026-02-24
2026-02-16,59182,2026-02-24
2026-02-17,59182,2026-02-24
2026-02-18,59182,2026-02-24
2026-02-19,59182,2026-02-24
2026-02-20,59182,2026-02-24
2026-02-23,59182,2026-02-24
2026-02-24,59182,2026-02-24
2026-02-25,51714,2026-03-30
2026-02-26,51714,2026-03-30
2026-02-27,51714,2026-03-30
2026-03-02,51714,2026-03-30
2026-03-04,51714,2026-03-30
2026-03-05,51714,2026-03-30
2026-03-06,51714,2026-03-30
2026-03-09,51714,2026-03-30
2026-03-10,51714,2026-03-30
2026-03-11,51714,2026-03-30
2026-03-12,51714,2026-03-30
2026-03-13,51714,2026-03-30
2026-03-16,51714,2026-03-30
2026-03-17,51714,2026-03-30
2026-03-18,51714,2026-03-30
2026-03-19,51714,2026-03-30
2026-03-20,51714,2026-03-30
2026-03-23,51714,2026-03-30
2026-03-24,51714,2026-03-30
2026-03-25,51714,2026-03-30
2026-03-27,51714,2026-03-30
2026-03-30,51714,2026-03-30
